date;close
2020-11-09;31425
2020-11-10;32400
2020-11-11;32700
2020-11-12;32100
2020-11-13;31950
2020-11-16;32400
2020-11-17;32750
2020-11-18;32850
2020-11-19;33075
2020-11-20;33000
2020-11-23;33000
2020-11-24;32825
2020-11-25;32050
2020-11-26;32400
2020-11-27;31925
2020-11-30;31025
2020-12-01;31975
2020-12-02;32250
2020-12-03;32300
2020-12-04;31950
2020-12-07;32600
2020-12-08;32450
2020-12-10;32875
2020-12-11;33675
2020-12-14;34100
2020-12-15;33950
2020-12-16;34750
2020-12-17;34675
2020-12-18;34000
2020-12-21;34150
2020-12-22;33575
2020-12-23;33625
2020-12-28;33900
2020-12-29;33825
2020-12-30;33850
2021-01-04;34175
2021-01-05;35450
2021-01-06;34725
2021-01-07;34825
2021-01-08;35250
2021-01-11;36725
2021-01-12;35800
2021-01-13;35600
2021-01-14;35100
2021-01-15;34775
2021-01-18;35600
2021-01-19;35475
2021-01-20;35475
2021-01-21;35375
2021-01-22;35400
2021-01-25;35175
2021-01-26;34100
2021-01-27;33950
2021-01-28;34500
2021-01-29;33800
2021-02-01;34100
2021-02-02;34000
2021-02-03;34125
2021-02-04;34275
2021-02-05;34575
2021-02-08;34600
2021-02-09;34900
2021-02-10;34600
2021-02-11;34400
2021-02-15;34000
2021-02-16;34700
2021-02-17;34500
2021-02-18;33675
2021-02-19;34125
2021-02-22;33950
2021-02-23;34125
2021-02-24;33625
2021-02-25;33525
2021-02-26;33550
2021-03-01;35225
2021-03-02;35075
2021-03-03;35000
2021-03-04;33600
2021-03-05;34000
2021-03-08;33600
2021-03-09;33025
2021-03-10;33525
2021-03-12;33825
2021-03-15;33325
2021-03-16;33125
2021-03-17;33050
2021-03-18;33525
2021-03-19;33800
2021-03-22;33100
2021-03-23;32825
2021-03-24;32200
2021-03-25;31850
2021-03-26;32075
2021-03-29;31800
2021-03-30;31975
2021-03-31;31075
2021-04-01;31125
2021-04-05;30775
2021-04-06;30825
2021-04-07;31250
2021-04-08;30675
2021-04-09;31000
2021-04-12;30325
2021-04-13;30000
2021-04-14;31525
2021-04-15;31400
2021-04-16;31375
2021-04-19;31350
2021-04-20;31175
2021-04-21;30825
2021-04-22;31075
2021-04-23;31950
2021-04-26;31425
