date;close
2019-07-29;16900
2019-07-30;16900
2019-07-31;16900
2019-08-01;17000
2019-08-02;17050
2019-08-05;17100
2019-08-06;17100
2019-08-07;17100
2019-08-08;16000
2019-08-09;16975
2019-08-12;16900
2019-08-13;16900
2019-08-14;16900
2019-08-15;16900
2019-08-16;16900
2019-08-19;16400
2019-08-20;16400
2019-08-21;16300
2019-08-22;16300
2019-08-23;16300
2019-08-26;16300
2019-08-27;16300
2019-08-28;16300
2019-08-29;16300
2019-08-30;16300
2019-09-02;16300
2019-09-03;16300
2019-09-04;16300
2019-09-05;17000
2019-09-06;17000
2019-09-09;17000
2019-09-10;17000
2019-09-11;17000
2019-09-12;17000
2019-09-13;17000
2019-09-16;17000
2019-09-17;17000
2019-09-18;16600
2019-09-19;16600
2019-09-20;16600
2019-09-23;16600
2019-09-24;16600
2019-09-25;16600
2019-09-26;16600
2019-09-27;16600
2019-09-30;16600
2019-10-01;16600
2019-10-02;16600
2019-10-03;16600
2019-10-04;16600
2019-10-07;16600
2019-10-08;16600
2019-10-09;16600
2019-10-10;16600
2019-10-11;16600
2019-10-14;16500
2019-10-15;16500
2019-10-16;16500
2019-10-17;16500
2019-10-18;16500
2019-10-21;16500
2019-10-22;16500
2019-10-23;16500
2019-10-24;13625
2019-10-25;13650
2019-10-28;13650
2019-10-29;13675
2019-10-30;16350
2019-10-31;13750
2019-11-01;14000
2019-11-04;13250
2019-11-05;13300
2019-11-06;14400
2019-11-07;14400
2019-11-08;14400
2019-11-11;11600
2019-11-12;13900
2019-11-13;13000
2019-11-14;12100
2019-11-15;13300
2019-11-18;15800
2019-11-19;15100
2019-11-20;15675
2019-11-21;15425
2019-11-22;15425
2019-11-25;15425
2019-11-26;15000
2019-11-27;15000
2019-11-28;15000
2019-11-29;13800
2019-12-02;13800
2019-12-03;14800
2019-12-04;14800
2019-12-05;14800
2019-12-06;14800
2019-12-09;14800
2019-12-10;14800
2019-12-11;14800
2019-12-12;14800
2019-12-13;14500
2019-12-16;12125
2019-12-17;13800
2019-12-18;13800
2019-12-19;13800
2019-12-20;13800
2019-12-23;16400
2019-12-26;16400
2019-12-27;16350
2019-12-30;15900
2020-01-02;15900
2020-01-03;15550
2020-01-06;15550
2020-01-07;15550
2020-01-08;15550
2020-01-09;15550
2020-01-10;15750
2020-01-13;15400
2020-01-14;15400
2020-01-15;15400
2020-01-16;15400
2020-01-17;15200
2020-01-20;15200
2020-01-21;15200
2020-01-22;15200
2020-01-23;15200
2020-01-24;15200
2020-01-27;15200
2020-01-28;15200
2020-01-29;15200
2020-01-30;15200
2020-01-31;15200
2020-02-03;15200
2020-02-04;15200
2020-02-05;15200
2020-02-06;15200
2020-02-07;15200
2020-02-10;15200
2020-02-11;15200
2020-02-12;15200
2020-02-13;15200
2020-02-14;15200
2020-02-17;15200
2020-02-18;15200
2020-02-19;15200
2020-02-20;15200
2020-02-21;15200
2020-02-24;15200
2020-02-25;15200
2020-02-26;15200
2020-02-27;15200
2020-02-28;15200
2020-03-02;15200
2020-03-03;15200
2020-03-04;15200
2020-03-05;15200
2020-03-06;15200
2020-03-09;15200
2020-03-10;15200
2020-03-11;15200
2020-03-12;15200
2020-03-13;15200
2020-03-16;15200
2020-03-17;15200
2020-03-18;15200
2020-03-19;15200
2020-03-20;15200
2020-03-23;15200
2020-03-24;15200
2020-03-26;15200
2020-03-27;15200
2020-03-30;15200
2020-03-31;14500
2020-04-01;14500
2020-04-02;14500
2020-04-03;14500
2020-04-06;14500
2020-04-07;14500
2020-04-08;14500
2020-04-09;14500
2020-04-13;14500
2020-04-14;14500
2020-04-15;14500
2020-04-16;14500
2020-04-17;14500
2020-04-20;14500
2020-04-21;14500
2020-04-22;14500
2020-04-23;14500
2020-04-24;14500
2020-04-27;14500
2020-04-28;14500
2020-04-29;14500
2020-04-30;14500
2020-05-04;14500
2020-05-05;14500
2020-05-06;14500
2020-05-08;14500
2020-05-11;14500
2020-05-12;14500
2020-05-13;14500
2020-05-14;14500
2020-05-15;14500
2020-05-18;14500
2020-05-19;14500
2020-05-20;14500
2020-05-26;14500
2020-05-27;14500
2020-05-28;14500
2020-05-29;14450
2020-06-02;14450
2020-06-03;14450
2020-06-04;13450
2020-06-05;13450
2020-06-08;13450
2020-06-09;13450
2020-06-10;13450
2020-06-11;13450
2020-06-12;13450
2020-06-15;13450
2020-06-16;13450
2020-06-17;13450
2020-06-18;13450
2020-06-19;13450
2020-06-22;12525
2020-06-23;12600
2020-06-24;12600
2020-06-25;12550
2020-06-26;12550
2020-06-29;12525
2020-06-30;12525
2020-07-01;12475
2020-07-02;12475
2020-07-03;14000
2020-07-06;13900
2020-07-07;13900
2020-07-08;12950
2020-07-09;12400
2020-07-10;12875
2020-07-13;12800
2020-07-14;12700
2020-07-15;11825
2020-07-16;11800
2020-07-17;12600
2020-07-20;12600
2020-07-21;13500
2020-07-22;13500
2020-07-23;13475
2020-07-24;13600
2020-07-27;12775
2020-07-28;12800
2020-07-29;13075
2020-07-30;13225
2020-08-03;13200
2020-08-04;13500
2020-08-05;14000
2020-08-06;14000
2020-08-07;13200
2020-08-10;13150
2020-08-11;13275
2020-08-12;13275
2020-08-13;13500
2020-08-14;13475
2020-08-18;13400
2020-08-19;13600
2020-08-24;13600
2020-08-25;13100
2020-08-26;13500
2020-08-27;13000
2020-08-28;12500
2020-08-31;12850
2020-09-01;12950
2020-09-02;12600
2020-09-03;12650
2020-09-04;12600
2020-09-07;12000
2020-09-08;12000
